 "command";"executable";"simtype";"ncores";"nodes";"atomics/node";"iterations";"% remotes";"% priority";"end time" ;"branch-misses";"branch-misses (of all branches          (50.01%))";"branches";"branches (M/sec                    (49.99%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (50.02%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (K/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (49.99%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (50.01%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;10.0;1000000;306986520.0;0.0078000000000000005;39391836790.0;595.326;15472.0;0.234;44.0;0.001;237722246939.0;3.593;126329197911.0;0.53;736.0;0.011;148274531122.0;0.6236999999999999;22985449719.0;0.0967;66168.562218;5.95;11.120275563
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;10.0;1000000;306606528.0;0.008;38426211156.0;576.775;15550.0;0.233;38.0;0.001;239467746777.0;3.594;123705958469.0;0.52;723.0;0.011;149087662554.0;0.6225999999999999;24206556395.0;0.1011;66622.479923;5.952;11.192956397
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;10.0;1000000;316644584.0;0.008;39796454210.0;595.56;15641.0;0.234;36.0;0.001;240159641183.0;3.594;127658161804.0;0.53;774.0;0.012;149592717077.0;0.6229;23243613234.0;0.0968;66821.956978;5.952;11.225911979
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;10.0;1000000;308148396.0;0.0078000000000000005;39603380202.0;595.097;14763.0;0.222;52.0;0.001;239215408471.0;3.595;127142017240.0;0.53;718.0;0.011;148805572151.0;0.6221;23486910460.0;0.09820000000000001;66549.427969;5.954;11.176931248
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;10.0;1000000;305299150.0;0.0078000000000000005;38964148789.0;586.985;15862.0;0.239;47.0;0.001;238648054315.0;3.595;125050398165.0;0.52;742.0;0.011;147932128784.0;0.6199;24386876626.0;0.10220000000000001;66380.14395;5.948;11.160156292
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;10.0;1000000;306696947.0;0.0079;38827386471.0;585.511;15172.0;0.229;31.0;0.0;238365445875.0;3.595;124904952558.0;0.52;729.0;0.011;148322025655.0;0.6222;24124535946.0;0.1012;66313.645288;5.954;11.138041685
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;10.0;1000000;306053716.0;0.0078000000000000005;39449201973.0;590.307;15252.0;0.228;25.0;0.0;240201809215.0;3.594;126608260912.0;0.53;665.0;0.01;148789162489.0;0.6194;24490485621.0;0.102;66828.305138;5.952;11.228060022
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;10.0;1000000;307597592.0;0.008100000000000001;37848097315.0;568.487;14855.0;0.223;37.0;0.001;239331238673.0;3.595;122056028967.0;0.51;735.0;0.011;148324619795.0;0.6197;25487587694.0;0.1065;66576.897205;5.955;11.180084289
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;10.0;1000000;306549574.0;0.0083;37104073182.0;558.165;13907.0;0.209;36.0;0.001;238835821046.0;3.593;119882700012.0;0.5;695.0;0.01;149180404898.0;0.6246;25740938860.0;0.10779999999999999;66475.085566;5.953;11.167039762
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;10.0;1000000;305490476.0;0.0079;38498604969.0;580.871;14900.0;0.225;27.0;0.0;238227202589.0;3.594;123859149859.0;0.52;728.0;0.011;148143960085.0;0.6219;23978828422.0;0.1007;66277.361;5.954;11.131540873
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;10.0;1000000;311678303.0;0.0078000000000000005;39904650307.0;595.437;16444.0;0.245;65.0;0.001;240786681224.0;3.593;128177089033.0;0.53;755.0;0.011;149600001063.0;0.6213000000000001;23697704788.0;0.0984;67017.392882;5.95;11.26361347
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;10.0;1000000;304917052.0;0.008100000000000001;37488473803.0;565.275;15191.0;0.229;51.0;0.001;238319907290.0;3.594;121074258210.0;0.51;696.0;0.01;148214218915.0;0.6219;25240290789.0;0.1059;66318.992846;5.952;11.142463376
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;10.0;1000000;308173754.0;0.008;38626101118.0;578.826;14081.0;0.211;52.0;0.001;239885290061.0;3.595;124322356456.0;0.52;751.0;0.011;149442450034.0;0.623;24682358481.0;0.10289999999999999;66731.803246;5.955;11.206591648
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;10.0;1000000;305352687.0;0.008100000000000001;37614276575.0;564.567;14255.0;0.214;54.0;0.001;239449985290.0;3.594;121388084793.0;0.51;719.0;0.011;149259781248.0;0.6233;24939657328.0;0.1042;66625.034409;5.949;11.198995901
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;10.0;1000000;306261212.0;0.008;38184377747.0;575.211;15327.0;0.231;39.0;0.001;238611367296.0;3.594;123197951048.0;0.52;733.0;0.011;148821160581.0;0.6236999999999999;23929109341.0;0.1003;66383.277157;5.954;11.14866502
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.2 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;20.0;1000000;314915127.0;0.0078000000000000005;40466017518.0;600.014;15026.0;0.223;57.0;0.001;242274343576.0;3.592;130116453656.0;0.54;734.0;0.011;149163032221.0;0.6157;24604875180.0;0.1016;67441.805615;5.952;11.331653612
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.2 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;20.0;1000000;319572270.0;0.0079;40207543236.0;595.216;15996.0;0.237;46.0;0.001;242888457318.0;3.596;129414306526.0;0.53;722.0;0.011;148927124885.0;0.6132;25800764712.0;0.10619999999999999;67551.167183;5.956;11.342444526
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.2 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;20.0;1000000;314961967.0;0.0076;41521351985.0;612.661;16076.0;0.237;30.0;0.0;243657468151.0;3.595;133026922373.0;0.55;767.0;0.011;149379857008.0;0.6131;24491622657.0;0.1005;67772.123177;5.954;11.382021873
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.2 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;20.0;1000000;316766604.0;0.0077;41276807150.0;607.08;16745.0;0.246;43.0;0.001;244277052359.0;3.593;132700147617.0;0.54;732.0;0.011;149013089796.0;0.61;25692207971.0;0.1052;67992.325734;5.946;11.434365874
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.2 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;20.0;1000000;319893255.0;0.0078000000000000005;41179275802.0;602.512;15100.0;0.221;38.0;0.001;245682830396.0;3.595;132144569446.0;0.54;712.0;0.01;150112931882.0;0.611;26130065906.0;0.10640000000000001;68345.948694;5.955;11.476540923
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.2 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;20.0;1000000;316649088.0;0.0078000000000000005;40703480696.0;599.883;15309.0;0.226;36.0;0.001;243898208966.0;3.595;130707040834.0;0.54;683.0;0.01;149305421903.0;0.6122;25158418517.0;0.1032;67852.344093;5.954;11.39646761
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.2 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;20.0;1000000;323786953.0;0.0077;41820701020.0;615.206;15211.0;0.224;50.0;0.001;244313373295.0;3.594;133818923191.0;0.55;708.0;0.01;149713187773.0;0.6128;24415299591.0;0.0999;67978.395158;5.954;11.418190089
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.2 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;20.0;1000000;319588633.0;0.0077;41309794393.0;609.728;15735.0;0.232;52.0;0.001;243486848798.0;3.594;132630153802.0;0.54;713.0;0.011;149477532079.0;0.6139;24347916598.0;0.1;67751.211052;5.95;11.386139073
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.2 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;20.0;1000000;319109968.0;0.0077;41437468419.0;614.935;14056.0;0.209;45.0;0.001;242121855127.0;3.593;132794465041.0;0.55;753.0;0.011;148514947875.0;0.6134000000000001;24033940399.0;0.0993;67385.106346;5.954;11.318241744
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.2 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;20.0;1000000;317053120.0;0.0077;41285172290.0;607.388;16572.0;0.244;52.0;0.001;244291116296.0;3.594;132376291518.0;0.54;725.0;0.011;149070835096.0;0.6102000000000001;25459919536.0;0.1042;67971.631259;5.952;11.420019475
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.2 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;20.0;1000000;315180256.0;0.0077;40730272280.0;601.148;16541.0;0.244;33.0;0.0;243568108614.0;3.595;130950517384.0;0.54;650.0;0.01;149031874278.0;0.6119;25398466980.0;0.1043;67754.133475;5.955;11.377183958
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.2 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;20.0;1000000;314733073.0;0.008100000000000001;38943585635.0;574.031;15591.0;0.23;42.0;0.001;243837545691.0;3.594;126138210474.0;0.52;672.0;0.01;149271030812.0;0.6122;27036058453.0;0.1109;67842.267301;5.953;11.396335811
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.2 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;20.0;1000000;319368286.0;0.0079;40488063965.0;593.921;15986.0;0.234;46.0;0.001;245062273830.0;3.595;130306872450.0;0.53;715.0;0.01;149966651163.0;0.612;26408958445.0;0.10779999999999999;68170.839091;5.952;11.452974919
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.2 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;20.0;1000000;320526353.0;0.0079;40414015335.0;593.725;16045.0;0.236;22.0;0.0;244669927659.0;3.594;130241637682.0;0.53;652.0;0.01;149683156531.0;0.6118;25472915778.0;0.1041;68068.57723;5.955;11.429611007
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.2 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;20.0;1000000;316180935.0;0.0078000000000000005;40285699760.0;592.927;15002.0;0.221;40.0;0.001;244105430734.0;3.593;129796909174.0;0.53;688.0;0.01;150093873744.0;0.6149;25321387957.0;0.10369999999999999;67943.80254;5.952;11.414531505
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.3 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;30.0;1000000;325642505.0;0.0075;43620992092.0;627.659;16147.0;0.232;30.0;0.0;249799470687.0;3.594;140044070861.0;0.56;728.0;0.01;150107500072.0;0.6009;25813271881.0;0.1033;69497.933738;5.956;11.669193713
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.3 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;30.0;1000000;323329484.0;0.0078000000000000005;41232377317.0;596.489;17204.0;0.249;33.0;0.0;248485286253.0;3.595;132970974859.0;0.54;722.0;0.01;149318301364.0;0.6009;28412382443.0;0.1143;69125.146527;5.955;11.60755475
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.3 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;30.0;1000000;323327325.0;0.0075;43101631847.0;621.246;17955.0;0.259;46.0;0.001;249267892103.0;3.593;138381411172.0;0.56;758.0;0.011;149598781039.0;0.6002000000000001;26919692412.0;0.10800000000000001;69379.333444;5.949;11.662510726
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.3 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;30.0;1000000;325406051.0;0.0079;41260398381.0;595.409;17021.0;0.246;38.0;0.001;249188325657.0;3.596;132944879093.0;0.53;801.0;0.012;150468431193.0;0.6038;28320824378.0;0.1137;69297.539682;5.955;11.637403848
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.3 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;30.0;1000000;336493242.0;0.0076;44453790572.0;639.525;16427.0;0.236;32.0;0.0;249919336128.0;3.595;142211083157.0;0.57;765.0;0.011;149438873638.0;0.5979;26154690876.0;0.1047;69510.641451;5.952;11.679048088
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.3 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;30.0;1000000;324541143.0;0.0074;43767875117.0;630.166;15926.0;0.229;31.0;0.0;249609840318.0;3.594;140165953006.0;0.56;662.0;0.01;150394501245.0;0.6025;25956933155.0;0.10400000000000001;69454.553342;5.954;11.665327128
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.3 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;30.0;1000000;325128901.0;0.0077;42266975130.0;607.777;16145.0;0.232;35.0;0.001;249970708374.0;3.594;136077279831.0;0.54;686.0;0.01;149524863324.0;0.5982;28513605586.0;0.11410000000000001;69543.579433;5.953;11.682582759
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.3 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;30.0;1000000;323020429.0;0.0077;41896771450.0;603.673;16089.0;0.232;51.0;0.001;249365909017.0;3.593;134880967539.0;0.54;709.0;0.01;150038671693.0;0.6017;27624932039.0;0.1108;69403.139022;5.951;11.663388608
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.3 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;30.0;1000000;325298446.0;0.0075;43154211120.0;619.355;17749.0;0.255;27.0;0.0;250379404526.0;3.593;138450836862.0;0.55;731.0;0.01;150390250246.0;0.6006;27427610584.0;0.10949999999999999;69676.099966;5.95;11.710069193
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.3 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;30.0;1000000;323790388.0;0.0077;41840914628.0;604.19;16417.0;0.237;42.0;0.001;248983816866.0;3.595;134660334607.0;0.54;662.0;0.01;149688112967.0;0.6012;27547895948.0;0.1106;69251.264696;5.953;11.633479305
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.3 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;30.0;1000000;326254737.0;0.0075;43546099960.0;626.085;16147.0;0.232;79.0;0.001;249944498160.0;3.594;139749034614.0;0.56;681.0;0.01;150284502665.0;0.6013000000000001;25797417246.0;0.1032;69553.068218;5.949;11.691432474
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.3 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;30.0;1000000;333371501.0;0.0077;43311887811.0;622.903;17586.0;0.253;42.0;0.001;249931626730.0;3.594;138988181941.0;0.56;721.0;0.01;149905095130.0;0.5998;27084738225.0;0.1084;69532.322485;5.95;11.685602569
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.3 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;90;30.0;1000000;345905059.0;0.0079;43636441571.0;632.115;17609.0;0.255;33.0;0.0;248206594163.0;3.596;139666202349.0;0.56;665.0;0.01;149233774265.0;0.6012;26047057049.0;0.10490000000000001;69032.47278;5.955;11.591994039
