 "command";"executable";"simtype";"ncores";"width";"end time" ;"branch-misses";"branch-misses (of all branches          (50.40%))";"branches";"branches (M/sec                    (51.92%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (51.46%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (M/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (52.38%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (52.59%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/adevs_interconnect classic  -w 10 -t 1000000";"adevs_interconnect";"classic";1;10;1000000;512631.0;0.0246;20830231.0;663.809;4.0;0.127;0.0;0.0;91396042.0;2.913;113586073.0;1.24;438.0;0.014;33404692.0;0.3655;5758431.0;0.063;31.379868;0.971;0.032312858
"./build/Benchmark/adevs_interconnect classic  -w 10 -t 1000000";"adevs_interconnect";"classic";1;10;1000000;566386.0;0.028300000000000002;19991521.0;674.897;4.0;0.135;0.0;0.0;94471457.0;3.189;106809315.0;1.13;437.0;0.015;34540498.0;0.36560000000000004;5176936.0;0.0548;29.621585;0.97;0.030542679
"./build/Benchmark/adevs_interconnect classic  -w 10 -t 1000000";"adevs_interconnect";"classic";1;10;1000000;486161.0;0.024;20266018.0;648.407;3.0;0.096;0.0;0.0;90724465.0;2.903;118429715.0;1.31;437.0;0.014;33572829.0;0.3701;5413042.0;0.059699999999999996;31.255106;0.97;0.032222981
"./build/Benchmark/adevs_interconnect classic  -w 10 -t 1000000";"adevs_interconnect";"classic";1;10;1000000;455161.0;0.0222;20469353.0;690.904;3.0;0.101;0.0;0.0;90917792.0;3.069;114173000.0;1.26;438.0;0.015;32158428.0;0.35369999999999996;5598828.0;0.0616;29.62692;0.968;0.030604427
"./build/Benchmark/adevs_interconnect classic  -w 10 -t 1000000";"adevs_interconnect";"classic";1;10;1000000;466440.0;0.0222;21013114.0;669.717;3.0;0.096;0.0;0.0;91204278.0;2.907;114559302.0;1.26;435.0;0.014;32904724.0;0.3608;5403747.0;0.0592;31.37609;0.972;0.032263373
"./build/Benchmark/adevs_interconnect classic  -w 10 -t 1000000";"adevs_interconnect";"classic";1;10;1000000;468028.0;0.022799999999999997;20488078.0;657.329;3.0;0.096;0.0;0.0;90632810.0;2.908;118837639.0;1.31;437.0;0.014;33781420.0;0.37270000000000003;5240529.0;0.057800000000000004;31.168687;0.97;0.032121021
"./build/Benchmark/adevs_interconnect classic  -w 10 -t 1000000";"adevs_interconnect";"classic";1;10;1000000;490536.0;0.0223;22002098.0;680.308;4.0;0.124;0.0;0.0;90626223.0;2.802;120443570.0;1.33;434.0;0.013;37938798.0;0.41859999999999997;5357979.0;0.0591;32.341391;0.97;0.033329067
"./build/Benchmark/adevs_interconnect classic  -w 10 -t 1000000";"adevs_interconnect";"classic";1;10;1000000;469236.0;0.022400000000000003;20985398.0;741.508;4.0;0.141;0.0;0.0;89828726.0;3.174;118730234.0;1.32;437.0;0.015;32810227.0;0.3653;4032850.0;0.0449;28.300983;0.968;0.029251615
"./build/Benchmark/adevs_interconnect classic  -w 10 -t 1000000";"adevs_interconnect";"classic";1;10;1000000;460768.0;0.022799999999999997;20224947.0;658.93;3.0;0.098;0.0;0.0;91113136.0;2.968;117942226.0;1.29;434.0;0.014;34165273.0;0.375;5040310.0;0.0553;30.693643;0.97;0.031632476
"./build/Benchmark/adevs_interconnect classic  -w 10 -t 1000000";"adevs_interconnect";"classic";1;10;1000000;452395.0;0.0227;19919800.0;650.065;3.0;0.098;0.0;0.0;91411384.0;2.983;116465133.0;1.27;437.0;0.014;34635761.0;0.3789;5153810.0;0.0564;30.642789;0.968;0.031661613
"./build/Benchmark/adevs_interconnect classic  -w 10 -t 1000000";"adevs_interconnect";"classic";1;10;1000000;460172.0;0.0226;20394421.0;662.823;3.0;0.098;0.0;0.0;90958521.0;2.956;118192557.0;1.3;438.0;0.014;33387740.0;0.3671;5168233.0;0.056799999999999996;30.769012;0.969;0.031749959
"./build/Benchmark/adevs_interconnect classic  -w 10 -t 1000000";"adevs_interconnect";"classic";1;10;1000000;465247.0;0.0231;20153929.0;650.562;3.0;0.097;0.0;0.0;90948526.0;2.936;118007485.0;1.3;435.0;0.014;33446013.0;0.3677;5214619.0;0.057300000000000004;30.979272;0.969;0.031965476
"./build/Benchmark/adevs_interconnect classic  -w 10 -t 1000000";"adevs_interconnect";"classic";1;10;1000000;450440.0;0.022000000000000002;20446805.0;673.097;3.0;0.099;0.0;0.0;89688584.0;2.952;111484085.0;1.24;437.0;0.014;35013058.0;0.39039999999999997;5298520.0;0.0591;30.377199;0.97;0.031313482
